score,agreement,models,position,company,location,date,reason,url
"79","agree","opus 80 / haiku 78","Junior Front End Developer","PULSEMEDIA (APAC)","","2026-05-23","Junior Frontend APAC remote ตรงทุกอย่าง","https://remoteok.com/remote-jobs/remote-junior-front-end-developer-pulsemedia-apac-1132221"
"76","agree","opus 75 / haiku 76","Junior Front End Developer","PulseMediaNL","","2026-05-16","Junior Frontend remote ตรงระดับและ stack","https://remoteok.com/remote-jobs/remote-junior-front-end-developer-pulsemedianl-1132446"
"74","agree","opus 68 / haiku 80","Software Development Intern","Hone Health","Worldwide","2025-10-13","Intern worldwide ตรงระดับ junior ดี","https://remoteok.com/remote-jobs/remote-software-development-intern-hone-health-1128280"
"72","split","opus 62 / haiku 82","Intern SD Engineer","Copious","Maharashtra","2026-05-19","Intern ตรงระดับ แต่อยู่ Maharashtra","https://remoteok.com/remote-jobs/remote-intern-sd-engineer-copious-1131629"
"70","agree","opus 72 / haiku 68","Software Engineer","MagicSchool AI","Worldwide","2025-12-11","AI SaaS worldwide ตรง interest มาก","https://remoteok.com/remote-jobs/remote-software-engineer-magicschool-ai-1129171"
"67","split","opus 58 / haiku 75","Applied AI Engineer","Bjak","Zurich","2026-06-07","Applied AI ตรง interest แต่ Zurich timezone","https://remoteok.com/remote-jobs/remote-applied-ai-engineer-bjak-1132964"
"63","agree","opus 55 / haiku 70","Backend Developer","Nabu Casa","Canada","2026-05-12","Backend ตรง interest แต่ Canada timezone","https://remoteok.com/remote-jobs/remote-backend-developer-nabu-casa-1132834"
"60","agree","opus 55 / haiku 65","Frontend Engineer","over99","Canada","2026-06-04","Frontend React ตรง แต่ Canada timezone ไม่ดี","https://remoteok.com/remote-jobs/remote-frontend-engineer-over99-1133038"
"56","agree","opus 50 / haiku 62","Software Engineer C","Octo Horizon","Worldwide","2026-05-22","Software Engineer worldwide แต่ภาษา C ไม่ตรง","https://remoteok.com/remote-jobs/remote-software-engineer-c-octo-horizon-1128583"
"51","split","opus 42 / haiku 60","Software engineer","Sticker Mule","Europe","2026-05-22","Software Engineer Europe timezone ไม่เหมาะ","https://remoteok.com/remote-jobs/remote-software-engineer-sticker-mule-1093738"
"49","agree","opus 48 / haiku 50","Software Engineer","Tech Innovations Inc.","San Francisco","2025-10-07","Software Engineer แต่ SF onsite timezone","https://remoteok.com/remote-jobs/remote-software-engineer-tech-innovations-inc-1128230"
"47","agree","opus 45 / haiku 48","Application Developer","Accenture in India","Worldwide","2025-07-17","Application Developer worldwide ระดับเหมาะแต่ไม่ระบุ stack","https://remoteok.com/remote-jobs/remote-application-developer-accenture-in-india-1131679"
"45","split","opus 35 / haiku 55","Site Reliability Engineer","RBC","Worldwide","2026-05-28","SRE remote ได้แต่ไม่ตรง stack หลัก","https://remoteok.com/remote-jobs/remote-site-reliability-engineer-rbc-1132479"
"40","agree","opus 35 / haiku 45","Data Scientist","YO HR Consultancy","Worldwide","2026-06-09","Data Scientist ไม่ตรงสาย full stack แต่ remote ได้","https://remoteok.com/remote-jobs/remote-data-scientist-yo-hr-consultancy-1133043"
"33","agree","opus 25 / haiku 40","Data Analyst","Stio","Probably worldwide","2026-06-09","Data Analyst ไม่ตรง stack ที่ถนัด","https://remoteok.com/remote-jobs/remote-data-analyst-stio-1133036"
"33","agree","opus 30 / haiku 35","Data Conversion Developer","Grant Street Group","United States","2026-05-02","Data Conversion US timezone ไม่ตรงสาย","https://remoteok.com/remote-jobs/remote-data-conversion-developer-grant-street-group-1131433"
"30","split","opus 22 / haiku 38","Data Analyst","Crossing Hurdles","Worldwide","2026-05-29","Data Analyst ไม่ตรง stack","https://remoteok.com/remote-jobs/remote-data-analyst-crossing-hurdles-1132484"
